,Title,Description,Views
10,Contemporary post jazz // ILLO Trio // Besedka Live,"Поддержать Беседку на Boosty (для русских карт): https://boosty.to/besedka_live
Поддержать Беседку на Патреоне (для иностранных карт): https://www.patreon.com/besedka_live

Трио из Москвы в классическом джазовом составе - клавишные, контрабас, ударные. Играет авторскую музыку на стыке академического и джазового направлений. На звучание повлияли такие коллективы и исполнители,как GoGo Penguin, Brad Mehldau, Mammal Hands, E.S.T. ,Portico Quartet и др.

В своих композициях музыканты преобразовывают звучание классического ансамбля, внедряя элементы других стилей и переосмысливая привычные музыкальные формулы.

00:00 Начало
00:20 Finwhale
05:21 June 23
10:10 [Интервью] Про ILLO
11:05 [Интервью] Первое публичное выступление
11:38 [Интервью] Любимые лайвы на NPR
12:48 [Интервью] Про китов
13:34 [Интервью] Участники ILLO духовные лидеры
16:15 Jousiradat
22:10 Delirium


Музыканты:
Николай Хоменко - клавишные
Алексей Баусин - контрабас 
Николай Прихотько - ударные

Автор проекта, ведущая: Наташа Mishoo
Запись звука: Арсен Степанян, Александр Казаков
Сведение и мастеринг: Арсен Степанян
Съёмка видео: Ирина Лисовенко, Ярослав Филиппов, Никас Котич
Монтаж: Никас Котич
Режиссёр: Никас Котич

Больше актуальной информации о проекте в наших соц.сетях.
Подписывайся, чтобы первым узнавать о новых релизах и прийти на открытый концерт-съемку.

Инстаграм: https://instagram.com/besedka__live​​​​   
Телеграм: https://t.me/besedka_live​​​​   

Культурный центр Белые Облака 2021
https://white-clouds.ru/",3130
11,LRK ТRIO,"https://kozlovclub.ru/

Jazz, Soul, Blues, Funk, Gospel, World-Music

***
Подписывайтесь на наши социальные сети:
Facebook: https://www.facebook.com/KozlovClub
Vk: https://vk.com/kozlovclubfan
Instagram: https://www.instagram.com/kozlovclub/
OK: https://ok.ru/kozlovclub",563
12,ILLO - ByeBye Penguin,"Николай Прихотько - ударные
Алексей Баусин - контрабас
Николай Хоменко - клавишные, композиция",143
13,Masala quartet -Live from Mjam 2st take,"Masala quartet
Анна Бёме- клавишные
Алексей Сухов- саксофон
Николай Прихотько-  ударные
Фёдор Фабер- контрабас",51
14,Masala quartet -Live from Mjam 1st take,"Анна Бёме- клавишные
Алексей Сухов- саксофон
Николай Прихотько- ударные
Фёдор Фабер- контрабас",57
15,Трио Марии Аксёновой – 08.07.22 – джаз-клуб «ЭССЕ» (г. Москва).,"🎹 Мария Аксенова – одна из лучших джазовых пианисток Казани, руководитель собственного ансамбля, композитор, солистка филармонического джаз.оркестра республики Татарстан.
🎼
В музыке @AXE_MARY_  диалектично сочетается сложность и лёгкость; повествовательное и, в то же время, танцевальное настроение. Особые синкопированные ритмы ловко переплетаются с глубоким мелодизмом, отражающим этническую принадлежность музыки. А стилевые решения не знают границ: начиная от баллад и заканчивая drum & bass.
🎼
В январе этого года трио было удостоено звания лауреата на международном конкурсе. А в июне состоялся первый релиз авторской пьесы «Русская» на всех музыкальных платформах.
🎼
Состав: 
Мария Аксёнова – 🎹 рояль
Феликс Аксёнов – 🎸 гитара 
Николай Прихотько – 🥁 ударные 
🎼
P.s. Оформление интерьера джаз-клуба ESSE парафиновыми подсвечниками & светодиодными свечами. 🕯💖",62
16,Русская – Трио Марии Аксёновой – 08.07.22 – джаз-клуб «ЭССЕ» (г. Москва).,"🎹 Мария Аксенова – одна из лучших джазовых пианисток Казани, руководитель собственного ансамбля, композитор, солистка филармонического джаз.оркестра республики Татарстан.
🎼
В музыке Марии диалектично сочетается сложность и лёгкость; повествовательное и, в то же время, танцевальное настроение. Особые синкопированные ритмы ловко переплетаются с глубоким мелодизмом, отражающим этническую принадлежность музыки. А стилевые решения не знают границ: начиная от баллад и заканчивая drum & bass.
🎼
В январе этого года трио было удостоено звания лауреата на международном конкурсе. А в июне состоялся первый релиз авторской пьесы «Русская» на всех музыкальных платформах.
🎼
Состав:
@AXE_MARY_  🎹 рояль
Феликс Аксёнов – 🎸 гитара 
Николай Прихотько – 🥁 ударные 
🎼
P.s. Оформление интерьера джаз-клуба ESSE парафиновыми подсвечниками & светодиодными свечами. 🕯💖",28
17,Полиритмический этюд – Трио Марии Аксёновой – 08.07.22 – джаз-клуб «ЭССЕ» (г. Москва).,"🎹 Мария Аксенова – одна из лучших джазовых пианисток Казани, руководитель собственного ансамбля, композитор, солистка филармонического джаз.оркестра республики Татарстан.
🎼
В музыке  @Мария Аксёнова   диалектично сочетается сложность и лёгкость; повествовательное и, в то же время, танцевальное настроение. Особые синкопированные ритмы ловко переплетаются с глубоким мелодизмом, отражающим этническую принадлежность музыки. А стилевые решения не знают границ: начиная от баллад и заканчивая drum & bass.
🎼
В январе этого года трио было удостоено звания лауреата на международном конкурсе. А в июне состоялся первый релиз авторской пьесы «Русская» на всех музыкальных платформах.
🎼
Состав: 
Мария Аксёнова – 🎹 рояль
Феликс Аксёнов – 🎸 гитара 
Николай Прихотько – 🥁 ударные 
🎼
P.s. Оформление интерьера джаз-клуба ESSE парафиновыми подсвечниками & светодиодными свечами. 🕯💖",27
18,Underdog – Трио Антона Загарова – 25.11.21 – джаз-клуб «ЭССЕ» (г.Москва).,"Антон Загаров - пианист и композитор, выпускник РАМ им. Гнесиных. Антон является ярким импровизатором, обладающим независимым художественным голосом.
🎼
В формате джазового трио, которое регулярно выступает в ведущих джазовых клубах Москвы, Антон исполняет свою музыку, для которой характерна психологичность, драйв и эмоциональная глубина. Эта музыка соединяет в себе языки различных музыкальных культур: современный джаз, академическая музыка, фолк, трип-хоп, эмбиент.
🎼
Состав:
Антон Загаров – 🎹 фортепиано
Сергей Кондратьев – 🎸гитара
Николай Прихотько – 🥁 ударные
🎼
P.s. Оформление интерьера ESSE композициями и парафиновых подсвечников & светодиодных свечей из нашего ассортимента. 💖🕯",44
19,Лето в Городе – Трио Антона Загарова – 29.01.22 – джаз-клуб «ЭССЕ» (г.Москва).,"Антон Загаров - пианист и композитор, выпускник РАМ им. Гнесиных. Антон является ярким импровизатором, обладающим независимым художественным голосом.
🎼
В формате джазового трио, которое регулярно выступает в ведущих джазовых клубах Москвы, Антон исполняет свою музыку, для которой характерна психологичность, драйв и эмоциональная глубина. Эта музыка соединяет в себе языки различных музыкальных культур: современный джаз, академическая музыка, фолк, трип-хоп, эмбиент.
🎼
Состав:
Антон Загаров – 🎹 фортепиано
Святослав Шеховцов – 🎸гитара
Николай Прихотько – 🥁 ударные
🎼
P.s. Оформление интерьера ESSE композициями и парафиновых подсвечников & светодиодных свечей из нашего ассортимента. 💖🕯",21
20,My Favorite Things from The Sound of Music,"""My Favorite Things"" from the 1965 film of THE SOUND OF MUSIC. 

Listen now to THE SOUND OF MUSIC Original Soundtrack Recording! https://found.ee/TheSoundofMusicListen

CONNECT WITH THE SOUND OF MUSIC:
https://www.facebook.com/TheSoundOfMusic
https://twitter.com/SoundofMusic
https://www.instagram.com/soundofmusic/

CONNECT WITH RODGERS & HAMMERSTEIN :
http://www.rodgersandhammerstein.com​
http://www.facebook.com/RodgersandHammerstein
https://twitter.com/RnH_Org
http://instagram.com/rodgersandhammerstein
https://www.tiktok.com/@rodgersandhammerstein

ABOUT THE SOUND OF MUSIC
Produced and directed by Robert Wise, and starring Julie Andrews and Christopher Plummer, with Richard Haydn and Eleanor Parker. The film is an adaptation of the 1959 Broadway musical of the same name, composed by Richard Rodgers with lyrics by Oscar Hammerstein II. The film's screenplay was written by Ernest Lehman, adapted from the stage musical's book by Lindsay and Crouse. Based on the memoir The Story of the Trapp Family Singers by Maria von Trapp, the film is about a young Austrian woman studying to become a nun in Salzburg in 1938 who is sent to the villa of a retired naval officer and widower to be governess to his seven children. After bringing and teaching love and music into the lives of the family through kindness and patience, she marries the officer and together with the children they find a way to survive the loss of their homeland through courage and faith.

The film was released on March 2, 1965 in the United States, initially as a limited roadshow theatrical release. Although critical response to the film was widely mixed, the film was a major commercial success, becoming the number one box office movie after four weeks, and the highest-grossing film of 1965. By November 1966, The Sound of Music had become the highest-grossing film of all-time—surpassing Gone with the Wind—and held that distinction for five years. The film was just as popular throughout the world, breaking previous box-office records in twenty-nine countries. Following an initial theatrical release that lasted four and a half years, and two successful re-releases, the film sold 283 million admissions worldwide and earned a total worldwide gross of $286,000,000.

The Sound of Music received five Academy Awards, including Best Picture and Best Director. The film also received two Golden Globe Awards, for Best Motion Picture and Best Actress, the Directors Guild of America Award for Outstanding Directorial Achievement, and the Writers Guild of America Award for Best Written American Musical. In 1998, the American Film Institute (AFI) listed The Sound of Music as the fifty-fifth greatest American movie of all time, and the fourth greatest movie musical. In 2001, the United States Library of Congress selected the film for preservation in the National Film Registry, finding it ""culturally, historically, or aesthetically significant"".

ABOUT RODGERS & HAMMERSTEIN
After long and highly distinguished careers with other collaborators, Richard Rodgers (Composer, 1902-1979) and Oscar Hammerstein II (Librettist/Lyricist, 1895-1960) joined forces in 1943 to create the most successful partnership in American musical theater. Prior to joining forces, Rodgers collaborated with lyricist Lorenz Hart on musical comedies that epitomized wit and sophistication (Pal Joey, On Your Toes, Babes In Arms and more), while Hammerstein brought new life to operetta and created the classic Show Boat with Jerome Kern. Oklahoma!, the first Rodgers & Hammerstein musical, introduced an integrated form that became known as “the musical play.” Their shows that followed included Carousel, South Pacific, The King and I, and The Sound of Music. Collectively, the Rodgers & Hammerstein musicals have earned Tony, Oscar, Grammy, Emmy, Pulitzer, and Olivier Awards. The Rodgers & Hammerstein Organization is a Concord Company, www.concord.com.

#Broadway #Theater #Theatre #RodgersAndHammerstein #RichardRodgers #OscarHammerstein #Rodgers #Hammerstein #TheSoundofMusic #JulieAndrews",16647395
21,John Coltrane - My Favorite Things (1961) (Full Album),"Bass – Steve Davis
Drums – Elvin Jones
Piano – McCoy Tyner
Soprano Saxophone – John Coltrane (tracks: A1, A2)
Tenor Saxophone – John Coltrane (tracks: B1, B2)

Recorded at Atlantic Studios, New York, NY 
Track A1 on October 21, 1960 
Track B1 on October 24, 1960 
Tracks A2 & B2 on October 26, 1960 


Engineer – Phil Iehle, Tom Dowd
Producer – Nesuhi Ertegun


A1 My Favorite Things 0:00
A2 Everytime We Say Goodbye 13:43
B1 Summertime 19:27
B2 But Not For Me 31:03



FAIR USE DISCLAIMER: I do not own copyright for this copyrighted artwork, but under Section 107 United States Copyright Law as noted by the United States Copyright Office (Copyright Act 1976), allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research.
I state here in a good faith that I have made and uploaded here this copy of this copyrighted artwork completely for the purposes of teaching and research, that my action - i.e. my production of the copy of this copyrighted artwork and sharing of it here on Youtube in this particular case - is totally non-profit, and that I believe that my production of this copy of this copyrighted artwork and sharing of it here in Youtube in this particular case can only increase value of this copyrighted artwork and produce only positive effects for this copyrighted artwork in its potential market.",7794662
22,Dean Martin & Caterina Valente - One Note Samba,,18142235
23,Jon Batiste & Friends (Live) | JAZZ NIGHT IN AMERICA,"Listen to the radio show: https://www.npr.org/2020/05/27/863412054/the-evolution-of-jon-batiste

Jon Batiste spent his 33rd birthday playing an intimate, private concert with his band in the round while Jazz Night in America captured the show. He kept it classy, donning a suede jacket and playing selections from his two latest Verve releases, Chronology of A Dream and Anatomy of Angels.

You probably know Jon Batiste as bandleader and musical director on The Late Show with Stephen Colbert. But his credentials are deep as the roots of the Batiste family tree. He's the co-artistic director of the National Jazz Museum in Harlem, and has been a collaborator with everyone from pop singer Tori Kelly to the Jazz at Lincoln Center Orchestra. He's graduate of both the New Orleans Center of the Creative Arts and the Juilliard School, and an alumni of both Wynton Marsalis' and Roy Hargrove's bands.

For the past decade, he's developed his version of ""jazz 2.0,"" which includes what he calls ""social music."" Its lineage stems from Batiste's native New Orleans but also runs through his adopted hometown of New York City, thanks to elders like Lionel Hampton and Dr. Billy Taylor, who brought jazz from the concert halls to the streets. But Batiste is also a part of yet another lineage: jazz musicians in late-night television. On our radio show — with help from Batiste's Late Show predecessor Paul Shaffer, its current Executive Producer, Chris Licht, and NPR television critic Eric Deggans — we'll trace some of that history, learning how Jon Batiste developed his role. --ALEX ARIFF

SET LIST
0:19 - ""If You're Happy And You Know It"" (Joe Raposo, arr. Jon Batiste)
4:21 - ""PRINCE""
11:16 - ""HIGHER""
19:40 - ""Round Midnight"" (Thelonious Monk, Bernard D. Hanighen, Charles Cootie Williams)
28:15 - ""PWWR""
34:24 - ""BLACCK""
40:58 - ""SOULFUL"" (Roy Hargrove)
48:18 - ""ORDR""

MUSICIANS
Jonanthan Batiste (piano, vocals, bandleader)
Giveton Gelin (trumpet)
Jon Lampley (trumpet, tuba)
Eddie Barbash (alto saxophone)
Tivon Pennicott (tenor saxophone)
Endea Owens (bass)
Joe Saylor (drums)
Negah Santos (percussion)

*Correction to the credits: Nickolai Hammar is the Director of Photography.

Listen to Jon Batiste:
https://Verve.lnk.to/ChronologyOfADreamID
https://Verve.lnk.to/AnatomyofAngelsID
 
FOLLOW US!
Facebook: https://www.facebook.com/jazznight
Twitter: https://twitter.com/jazznight
Instagram: https://instagram.com/jazznightinamerica",1968474
24,The sky is cloudy,"The sky is cloudy 
Композиция пианиста Эдмонда Мурадяна 
Александр Терентьев - бас 
Николай Прихотько - ударные",94
25,"Chick Corea Trio @Tchaikovsky Hall ""Spain""","Трио Чика Кориа (Эдди Гомес - бас, Брайан Блэйд - ударные) и московская публика исполняют ""специальную хоровую версию"" пьесы Кориа ""Spain"" в КЗ им. Чайковского, Москва, 15.05.2017
Chick Corea Trio w. Eddie Gomez on bass and Brian Blade on drums, and 1,500 Muscovites perform a ""special choral version"" of Corea's original ""Spain"" at Tchaikovsky Hall in Moscow, Russia, on May 15, 2017.",137536
26,Stay Human Band performs at Boston Latin School 2013,,92526
27,Midnight Blue - Kenny Burrell // FULL TRANSCRIPTION W/TAB,"Learn #HOWTOPLAY | #KennyBurrell | #MidnightBlue

TABS, SCALE SHEETS & BACKING TRACKS are on my Patreon page 
http://www.patreon.com/exeterguitarlessons

This is the full transcription of the classic track from the 1963 album of the same name by Kenny Burrell...'Midnight Blue'.

Full transcription and scale & chord packs for all 6 lessons are on my Patreon page www.patreon.com/exeterguitarlessons for £3.00


---------------------------------------------------------------------------------------------------------------------------
If you enjoyed this video please consider liking and subscribing to my channel for regular guitar lesson, licks and gear videos. 

If you found this video really useful and would like to support me then head to:

PATREON: http://www.patreon.com/exeterguitarlessons

I can also be found here:

FACEBOOK: http://www.facebook.com/exeterguitarlessons

INSTAGRAM: http://www.instagram.com/exeterguitarlessons

WEBSITE: http://www.exeterguitarlessons.com

Thanks for watching!

S",78604
28,Miles Davis - Milestones (Official Audio),"”Milestones” by Miles Davis
Listen to Miles Davis: https://MilesDavis.lnk.to/listenYD 

Watch more Miles Davis videos: https://MilesDavis.lnk.to/listenYD/youtube

Subscribe to the official Miles Davis YouTube channel: https://MilesDavis.lnk.to/subscribeYD

Follow Miles Davis:
Facebook: https://MilesDavis.lnk.to/followFI
Instagram: https://MilesDavis.lnk.to/followII
Twitter: https://MilesDavis.lnk.to/followTI
Website: https://MilesDavis.lnk.to/followWI
Spotify: https://MilesDavis.lnk.to/followSI

#Milestones #MilesDavis #Jazz",3439494
29,ILLO feat. Pollyash - Il mio bel foco (B. Marcello),"Полина Ашихмина - вокал
Николай Прихотько - ударные
Алексей Баусин - контрабас
Николай Хоменко - клавишные, аранжировка

Пермская краевая филармония, 08.04.2022",132
30,"ILLO feat. PollyAsh - Guarda in quest'occhi (A. Vivaldi, ''Ottone in villa'')","Полина Ашихмина - вокал
Николай Прихотько - ударные
Алексей Баусин - контрабас
Николай Хоменко - клавишные, аранжировка

Пермская краевая филармония, 08.04.2022",164
31,ILLO - Tale (Live from Khakassia),"Алексей Баусин - контрабас 
Виктор Кулиш - ударные 
Николай Хоменко - клавишные

Эпизод с выступления на фестивале Джаз в Хакасии, 15.04.2023",144
32,Vengo de Moler,"Provided to YouTube by Kontor New Media GmbH

Vengo de Moler · Daniel García Trio

Travesuras

℗ ACT Music+Vision GmbH+Co.KG

Released on: 2019-04-26

Artist: Daniel García Trio
Producer: Daniel García
Bass: Reinier Elizarde ""El Negrón""
Drums: Michael Olivera
Sound  Engineer: Manuel Pájaro
Mixer, Mastering  Engineer: Shayan Fathi
Composer: traditional
Arranger: Daniel Garcia
Piano: Daniel García
Music  Publisher: ACT Music Publishing

Auto-generated by YouTube.",2321
33,LADANIVA - Kef Chilini,"LADANIVA - Kef Chilini

Music and lyrics: LADANIVA

🎤   Jaklin Baghdasaryan
🎺    Louis Thomas

🎥   TWICE
🎧   Phil Spread

Follow LADANIVA
Facebook : https://www.facebook.com/ladanivayaman/
Instagram : https://www.instagram.com/ladaniva.ladaniva/?hl=fr
Tiktok : https://www.tiktok.com/@ladaniva.ladaniva



-- Lyrics -- 
There's a guy (in our yard)
A handsome boy (haaa)
A guy with soul (oh I love him)
I call him to dance with me
But he won't come (he is shy)


Chorus: (There will be no party in our yard, because my sweetheart can’t dance)

Let the wind blow (and cool us)
From those mountains (haaa)
I went (hurriedly) and
Asked my sweetheart for a dance
I guess I was mistaken

Chorus: (There will be no party in our yard, because my sweetheart can’t dance). 

Ka mi tkha (mer bakouma) 
Tarlan tkha (haaa) 
Hoqov tkha (ah siroumem) 

hets parel kanchumem 
bayc chi galis ( amachoumé) 


Qamin pchi ( mez hov ani) 
En lerneric (haaa) 
Es gnaci (shout gnaci) 

Yaris prel kancheci 
Achqis shpotveci 

Refrain: ( Mer aygoum kéf chilini yarés parél chigiti )

Կա մի տղա (մեր բակումը)
Թառլան տղա (հաաա)
Հոգով տղա (ահ սիրում եմ)
Հետս պարել կանչում եմ
Բայց չի գալիս (ամաչում է)

Քամին փչի (մեզ հով անի)
Էն լեռներից (հաաա)
Ես գնացի (շուտ գնացի)
Յարիս պարել կանչեցի
Աչքիս շփոթվեցի

Կրկներգ՝ Մեր այգում քեֆ չի լինի, յարս պարել չգիտի

#ladaniva #worldmusic #shakar",27364392
34,FKJ & Tom Misch - Losing My Way,"FKJ x Tom Misch - Losing My Way 

Filmed by François Dubois
https://www.facebook.com/francoisduboisbruxelles

Recorded at Red Bull Studios Berlin by Christian Prommer / Mathias Schooner / David Hofmann

TOM MISCH
https://www.facebook.com/tommisch123
https://www.soundcloud.com/tommisch
https://www.twitter.com/tommisch
https://www.instagram.com/tommisch

FKJ
https://www.facebook.com/frenchkiwijuice
https://soundcloud.com/fkj-2
https://www.instagram.com/frenchkiwijuice/
https://twitter.com/Fkjmusic

RedBullStudiosBerlin :
Twitter: @RBStudiosBLN 
Instagram: @rbstudiosbln 
Facebook: redbullstudiosBLN 
Soundcloud: red-bull-studios-berlin",73415578
35,Dmitriy Semenov band & Doniyor Rizaev- funk,,200
36,City Lights (live),"Кусочек Композиции City Lights с концерта в ""Бутылке""
Андрей Фахриев - Бас
Илья Щеклеин - Клавиши
Михаил Шилов - Барабаны",2068
37,"""Funk time"" Ivan Lyubimov(composer),Dmitry Semenov,Konstantin Danilov,Petr Mikheev","Live studio recording,Saint Petersburg,Kazanskay7.Петр Михеев-барабаны,Константин Данилов-клавиши,мастеринг,Дмитрий Семенов-саксофон,Иван Любимов-бас,Иван Сысо-запись.",3735
38,ANATOLY OSIPOV GROUP,"https://kozlovclub.ru/

Jazz, Soul, Blues, Funk, Gospel, World-Music

***
Подписывайтесь на наши социальные сети:
Facebook: https://www.facebook.com/KozlovClub
Vk: https://vk.com/kozlovclubfan
Instagram: https://www.instagram.com/kozlovclub/
OK: https://ok.ru/kozlovclub",338
39,"Victoria Petrovskaia Quartet / ""Skazanie o slavyanskom severe"" (fragment)","Квартет Виктории Петровской / ""Сказание о славянском севере""

Виктория Петровская (рояль, композиция)
Влад Савенков (гитара)
Вадим Ким (контрабас)
Николай Прихотько (ударные)

Victoria Petrovskaia (piano, composition)
Vlad Savenkov (guitar)
Vadim Kem (double bass)
Nikolai Prikhotko (drums)

Джаз-клуб ""Эссэ"", г. Москва, 22.04.2023 г.",24
40,"Квартет Анны Сердюковой. ""Stranger in Town"" - Pat Metheny","""Stranger In Town"" - Pat Metheny (Пэт Метини) 6:07
Анна Сердюкова - гитара
Сергей Елтышев - фортепиано
Вадим Ким - бас-гитара
Игнат Демарин - барабаны",62
41,Natalia Valizer Quintet - Night Abstraction,,17
